Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-07 17:08:00,"Drotik убил pogranec (Каменный нож, 0.85m)",Каменный нож,0.85,Drotik,pogranec
2023-11-07 17:10:00,"alya-uylyu убил Drotik (Каменный нож, 1.18m)",Каменный нож,1.18,alya-uylyu,Drotik
2023-11-07 17:10:00,"[valyatsa]ELnapo убил olegfrayru (Боевой нож, 1.04m)",Боевой нож,1.04,[valyatsa]ELnapo,olegfrayru
2023-11-07 17:10:00,"*************************************************** убил ShiFFFrinski (Каменный нож, 0.42m)",Каменный нож,0.42,***************************************************,ShiFFFrinski
2023-11-07 17:10:00,"?????????????? убил [JuJuBe] Gafar (Боевой нож, 0.96m)",Боевой нож,0.96,??????????????,[JuJuBe] Gafar
2023-11-07 17:10:00,"?????????? ?????????????????????????? убил s0met1mes (Каменный нож, 1.28m)",Каменный нож,1.28,?????????? ??????????????????????????,s0met1mes
2023-11-07 17:10:00,"KinjaL Putina убил *************************************************** (Каменный нож, 1.15m)",Каменный нож,1.15,KinjaL Putina,***************************************************
2023-11-07 17:11:00,"Nigan убил DayZ (Боевой нож, 0.81m)",Боевой нож,0.81,Nigan,DayZ
2023-11-07 17:11:00,"Undead убил AllahHeKontrutsya (Каменный нож, 1.03m)",Каменный нож,1.03,Undead,AllahHeKontrutsya
2023-11-07 17:11:00,"Artsiom Shifrinsiy убил gjaba (Каменный нож, 0.85m)",Каменный нож,0.85,Artsiom Shifrinsiy,gjaba
2023-11-07 17:11:00,"DayZ убил AllahHeKontrutsya (Боевой нож, 1.65m)",Боевой нож,1.65,DayZ,AllahHeKontrutsya
2023-11-07 17:11:00,"DayZ убил KinjaL Putina (Боевой нож, 1.88m)",Боевой нож,1.88,DayZ,KinjaL Putina
2023-11-07 17:12:00,"Nigan убил Oxotnik (Боевой нож, 1.14m)",Боевой нож,1.14,Nigan,Oxotnik
2023-11-07 17:12:00,"alya-uylyu убил [MAD] CHURKA (Каменный нож, 1.15m)",Каменный нож,1.15,alya-uylyu,[MAD] CHURKA
