Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-07 17:11:00,"Napaleon убил Zavod (Каменный нож, 1.0m)",Каменный нож,1.0,Napaleon,Zavod
2023-11-07 17:13:00,"nikita убил 6afry (ИЖ-18, 8.06m)",ИЖ-18,8.06,nikita,6afry
2023-11-07 17:15:00,"tryamych убил HUNTER (ИЖ-43, 2.61m)",ИЖ-43,2.61,tryamych,HUNTER
2023-11-07 17:17:00,"Woody убил REZINOVAYA ZALUPKA (ИЖ-18МН, 1.81m)",ИЖ-18МН,1.81,Woody,REZINOVAYA ZALUPKA
2023-11-07 17:19:00,"Ya ne tvoya mama убил Bereznyack (Каменный нож, 1.21m)",Каменный нож,1.21,Ya ne tvoya mama,Bereznyack
2023-11-07 17:21:00,"zmeinysh убил NiniM_ (CZ-527, 19.6m)",CZ-527,19.6,zmeinysh,NiniM_
2023-11-07 17:22:00,"Rayan Gosling убил AvToMeHaNiK (CZ-527, 190.76m)",CZ-527,190.76,Rayan Gosling,AvToMeHaNiK
2023-11-07 17:23:00,"Zavod убил Roman Goslingov (Каменный нож, 1.26m)",Каменный нож,1.26,Zavod,Roman Goslingov
2023-11-07 17:27:00,"PekoPekoPekoPeko убил Waze (Steyr Scout, 154.01m)",Steyr Scout,154.01,PekoPekoPekoPeko,Waze
2023-11-07 17:28:00,"Skvyals убил Romchik123 (ИЖ70-17A, 0.66m)",ИЖ70-17A,0.66,Skvyals,Romchik123
2023-11-07 17:28:00,"panathas13 убил Dwayne Douglas Johnson (Серп, 1.27m)",Серп,1.27,panathas13,Dwayne Douglas Johnson
2023-11-07 17:28:00,"Skvyals убил milka (ИЖ70-17A, 8.99m)",ИЖ70-17A,8.99,Skvyals,milka
2023-11-07 17:29:00,"Napaleon убил PekoPekoPekoPeko (ИЖ-18МН, 17.34m)",ИЖ-18МН,17.34,Napaleon,PekoPekoPekoPeko
2023-11-07 17:34:00,"zmeinysh убил Zavod (CZ-527, 27.01m)",CZ-527,27.01,zmeinysh,Zavod
2023-11-07 17:35:00,"Rayan Gosling убил milka (CZ-527, 23.86m)",CZ-527,23.86,Rayan Gosling,milka
2023-11-07 17:36:00,"Ubivate убил panathas13 (ИЖ-43, 13.61m)",ИЖ-43,13.61,Ubivate,panathas13
2023-11-07 17:36:00,"soft1kk убил [R.G.P] mister (CZ-527, 19.19m)",CZ-527,19.19,soft1kk,[R.G.P] mister
2023-11-07 17:36:00,"mickverywell убил 2RI7T (CZ-527, 8.97m)",CZ-527,8.97,mickverywell,2RI7T
2023-11-07 17:36:00,"NiniM_ убил GG (UMP-45, 10.85m)",UMP-45,10.85,NiniM_,GG
2023-11-07 17:37:00,"Ubivate убил PROST (CZ-527, 54.02m)",CZ-527,54.02,Ubivate,PROST
2023-11-07 17:41:00,"panathas13 убил Romchik123 (Каменный нож, 2.01m)",Каменный нож,2.01,panathas13,Romchik123
2023-11-07 17:42:00,"Blakosta убил Skvyals (ИЖ-18, 3.47m)",ИЖ-18,3.47,Blakosta,Skvyals
2023-11-07 17:42:00,"6afry убил Billi ubivashka (Тесак, 1.08m)",Тесак,1.08,6afry,Billi ubivashka
2023-11-07 17:44:00,"NiniM_ убил nikita (UMP-45, 20.53m)",UMP-45,20.53,NiniM_,nikita
2023-11-07 17:44:00,"Napaleon убил KARLSON (ИЖ70-17A, 3.88m)",ИЖ70-17A,3.88,Napaleon,KARLSON
2023-11-07 17:45:00,"Zavod убил 6afry (ИЖ70-17A, 59.09m)",ИЖ70-17A,59.09,Zavod,6afry
2023-11-07 17:45:00,"[R.G.P] mister убил Whitenord (ИЖ70-17A, 5.1m)",ИЖ70-17A,5.1,[R.G.P] mister,Whitenord
2023-11-07 17:46:00,"Zavod убил Sueta (Булава, 0.68m)",Булава,0.68,Zavod,Sueta
2023-11-07 17:47:00,"KARLSON убил [R.G.P] mister (ИЖ70-17A, 1.28m)",ИЖ70-17A,1.28,KARLSON,[R.G.P] mister
2023-11-07 17:50:00,"NiniM_ убил Ubivate (UMP-45, 23.21m)",UMP-45,23.21,NiniM_,Ubivate
2023-11-07 17:54:00,"NiniM_ убил nikita (UMP-45, 10.79m)",UMP-45,10.79,NiniM_,nikita
2023-11-07 17:58:00,"Dwayne Douglas Johnson убил nikita (Glock-19, 24.57m)",Glock-19,24.57,Dwayne Douglas Johnson,nikita
2023-11-07 17:58:00,"JOHN_SENA убил Whitenord (МР-133, 2.06m)",МР-133,2.06,JOHN_SENA,Whitenord
2023-11-07 17:59:00,"PANDA убил [R.G.P]sasok mawrodiu (Каменный нож, 1.23m)",Каменный нож,1.23,PANDA,[R.G.P]sasok mawrodiu
2023-11-07 18:02:00,"Sebaru убил panathas13 (Нож для стейка, 1.07m)",Нож для стейка,1.07,Sebaru,panathas13
2023-11-07 18:02:00,"Leonardo DiCaprio убил YAV (ИЖ-43, 11.39m)",ИЖ-43,11.39,Leonardo DiCaprio,YAV
2023-11-07 18:03:00,"Plotva убил ToNik (ИЖ-43, 7.63m)",ИЖ-43,7.63,Plotva,ToNik
2023-11-07 18:07:00,"Zico убил naveel (Кувалда, 0.9m)",Кувалда,0.9,Zico,naveel
2023-11-07 18:11:00,"[KeParY] fletti убил panathas13 (CZ-527, 6.25m)",CZ-527,6.25,[KeParY] fletti,panathas13
2023-11-07 18:11:00,"Woody убил Roman Goslingov (CZ-527, 107.25m)",CZ-527,107.25,Woody,Roman Goslingov
2023-11-07 18:12:00,"NiniM_ убил [T6p]ZVEZDA (UMP-45, 3.43m)",UMP-45,3.43,NiniM_,[T6p]ZVEZDA
2023-11-07 18:12:00,"Leonardo DiCaprio убил naveel (ИЖ-43, 10.58m)",ИЖ-43,10.58,Leonardo DiCaprio,naveel
2023-11-07 18:14:00,"Cr1stal убил Sueta (МР-133, 15.17m)",МР-133,15.17,Cr1stal,Sueta
2023-11-07 18:15:00,"Sanchez убил Damping (Труба, 0.68m)",Труба,0.68,Sanchez,Damping
2023-11-07 18:15:00,"Billi ubivashka убил PROST (CZ-527, 15.0m)",CZ-527,15.0,Billi ubivashka,PROST
2023-11-07 18:15:00,"Woody убил mickverywell (МР-133, 12.33m)",МР-133,12.33,Woody,mickverywell
2023-11-07 18:17:00,"Cr1stal убил naveel (МР-133, 2.1m)",МР-133,2.1,Cr1stal,naveel
2023-11-07 18:19:00,"[KeParY] fletti убил Dianka (CZ-527, 54.06m)",CZ-527,54.06,[KeParY] fletti,Dianka
2023-11-07 18:19:00,"YAV убил Napaleon (MP-443 «Грач», 3.74m)",MP-443 «Грач»,3.74,YAV,Napaleon
2023-11-07 18:20:00,"BRAVO убил MoroKH (CZ-527, 1.64m)",CZ-527,1.64,BRAVO,MoroKH
2023-11-07 18:21:00,"YAV убил Leonardo DiCaprio (MP-443 «Грач», 0.86m)",MP-443 «Грач»,0.86,YAV,Leonardo DiCaprio
2023-11-07 18:21:00,"Buoyabesh убил Damping (Каменный нож, 1.01m)",Каменный нож,1.01,Buoyabesh,Damping
2023-11-07 18:23:00,"Xanax убил Varyag (ИЖ70-17A, 31.69m)",ИЖ70-17A,31.69,Xanax,Varyag
2023-11-07 18:23:00,"Sanchez убил [T6p]ZVEZDA (Труба, 1.42m)",Труба,1.42,Sanchez,[T6p]ZVEZDA
2023-11-07 18:24:00,"Dwayne Douglas Johnson убил Roman Goslingov (Кувалда, 0.95m)",Кувалда,0.95,Dwayne Douglas Johnson,Roman Goslingov
2023-11-07 18:24:00,"jijoervis убил mickverywell (Печеночный паштет, 1.14m)",Печеночный паштет,1.14,jijoervis,mickverywell
2023-11-07 18:34:00,"Flishe убил nikita (CZ-527, 27.37m)",CZ-527,27.37,Flishe,nikita
2023-11-07 18:34:00,"Alucard убил milka (ИЖ-18МН, 30.01m)",ИЖ-18МН,30.01,Alucard,milka
2023-11-07 18:37:00,"PROST убил jijoervis (ВПО-136 ""Вепрь-КМ"", 54.6m)","ВПО-136 ""Вепрь-КМ""",54.6,PROST,jijoervis
2023-11-07 18:37:00,"PROST убил panathas13 (ВПО-136 ""Вепрь-КМ"", 58.37m)","ВПО-136 ""Вепрь-КМ""",58.37,PROST,panathas13
2023-11-07 18:38:00,"qweqwqqe убил mixalios (Охотничий нож, 1.08m)",Охотничий нож,1.08,qweqwqqe,mixalios
2023-11-07 18:39:00,"CPT.EXODUS убил Morbid (CZ-527, 41.8m)",CZ-527,41.8,CPT.EXODUS,Morbid
2023-11-07 18:40:00,"Trospe убил milka (Нож для стейка, 1.1m)",Нож для стейка,1.1,Trospe,milka
2023-11-07 18:45:00,"NiniM_ убил ZOMbIe97 (CZ-527, 141.65m)",CZ-527,141.65,NiniM_,ZOMbIe97
2023-11-07 18:45:00,"Absolute убил Cr1stal (ADAR 2-15, 2.93m)",ADAR 2-15,2.93,Absolute,Cr1stal
2023-11-07 18:45:00,"Trospe убил Damping (Ruger 10/22, 9.45m)",Ruger 10/22,9.45,Trospe,Damping
2023-11-07 18:46:00,"Alucard убил Skvyals (ИЖ-18МН, 4.95m)",ИЖ-18МН,4.95,Alucard,Skvyals
2023-11-07 18:46:00,"Ubivate убил [A]Atello (ИЖ-18, 5.68m)",ИЖ-18,5.68,Ubivate,[A]Atello
2023-11-07 18:47:00,"milka убил Alucard (ИЖ70-17A, 3.68m)",ИЖ70-17A,3.68,milka,Alucard
2023-11-07 18:47:00,"NiniM_ убил KARLSON (UMP-45, 4.33m)",UMP-45,4.33,NiniM_,KARLSON
2023-11-07 18:48:00,"Romchik123 убил 2RI7T (АКС-74У, 4.43m)",АКС-74У,4.43,Romchik123,2RI7T
2023-11-07 18:48:00,"Buoyabesh убил Penis (Бизон-2-02, 18.45m)",Бизон-2-02,18.45,Buoyabesh,Penis
2023-11-07 18:50:00,"6afry убил Buoyabesh (АКС-74У, 22.66m)",АКС-74У,22.66,6afry,Buoyabesh
2023-11-07 18:51:00,"Jon Snow убил Sueta (ИЖ-18МН, 92.83m)",ИЖ-18МН,92.83,Jon Snow,Sueta
2023-11-07 18:52:00,"milka убил NyFe (ИЖ-43, 1.47m)",ИЖ-43,1.47,milka,NyFe
2023-11-07 18:53:00,"Cr1stal убил 6afry (ВПО-136 ""Вепрь-КМ"", 1.34m)","ВПО-136 ""Вепрь-КМ""",1.34,Cr1stal,6afry
2023-11-07 18:53:00,"Exite убил Skvyals (ИЖ-43, 6.32m)",ИЖ-43,6.32,Exite,Skvyals
2023-11-07 18:54:00,"Dwayne Douglas Johnson убил **Dvok*/ (Кувалда, 1.7m)",Кувалда,1.7,Dwayne Douglas Johnson,**Dvok*/
2023-11-07 18:54:00,"Mango убил Morbid (Каменный нож, 0.84m)",Каменный нож,0.84,Mango,Morbid
2023-11-07 18:54:00,"Dwayne Douglas Johnson убил jijoervis (Кувалда, 1.38m)",Кувалда,1.38,Dwayne Douglas Johnson,jijoervis
2023-11-07 18:54:00,"Exite убил milka (Меч, 2.05m)",Меч,2.05,Exite,milka
2023-11-07 18:55:00,"Dwayne Douglas Johnson убил panathas13 (Кувалда, 1.21m)",Кувалда,1.21,Dwayne Douglas Johnson,panathas13
2023-11-07 18:55:00,"Dwayne Douglas Johnson убил Sebaru (Кувалда, 0.82m)",Кувалда,0.82,Dwayne Douglas Johnson,Sebaru
2023-11-07 18:57:00,"Exite убил NyFe (ИЖ-43, 3.84m)",ИЖ-43,3.84,Exite,NyFe
2023-11-07 18:58:00,"Tesei.rip убил SEREGA (ВПО-136 ""Вепрь-КМ"", 1.32m)","ВПО-136 ""Вепрь-КМ""",1.32,Tesei.rip,SEREGA
2023-11-07 19:10:00,"panathas13 убил LaMBaDa (Каменный нож, 1.63m)",Каменный нож,1.63,panathas13,LaMBaDa
2023-11-07 19:12:00,"CPT.EXODUS убил calin39 (ИЖ70-17A, 4.94m)",ИЖ70-17A,4.94,CPT.EXODUS,calin39
2023-11-07 19:12:00,"panathas13 убил Meldonii (Нож для стейка, 1.08m)",Нож для стейка,1.08,panathas13,Meldonii
2023-11-07 19:13:00,"Plotva убил ToNik (АКС-74У, 1.47m)",АКС-74У,1.47,Plotva,ToNik
2023-11-07 19:16:00,"Skvyals убил LaMBaDa (ИЖ-18МН, 20.87m)",ИЖ-18МН,20.87,Skvyals,LaMBaDa
2023-11-07 19:20:00,"Osprey убил LaMBaDa (Мотыга, 1.2m)",Мотыга,1.2,Osprey,LaMBaDa
2023-11-07 19:21:00,"Ya ne tvoya mama убил Mango (ИЖ-43, 19.77m)",ИЖ-43,19.77,Ya ne tvoya mama,Mango
2023-11-07 19:23:00,"BRAVO убил Vladislove2033  (АКС-74У, 1.67m)",АКС-74У,1.67,BRAVO,Vladislove2033 
2023-11-07 19:23:00,"Bullet583 убил jijoervis (МР-133, 1.69m)",МР-133,1.69,Bullet583,jijoervis
2023-11-07 19:23:00,"panathas13 убил Onfire (Нож для стейка, 0.53m)",Нож для стейка,0.53,panathas13,Onfire
2023-11-07 19:24:00,"[A]Atello убил Whitenord (Вилы, 2.62m)",Вилы,2.62,[A]Atello,Whitenord
2023-11-07 19:24:00,"Sebaru убил Bullet583 (ИЖ-18, 6.56m)",ИЖ-18,6.56,Sebaru,Bullet583
2023-11-07 19:26:00,"[A]Atello убил Skvyals (ИЖ-18, 1.89m)",ИЖ-18,1.89,[A]Atello,Skvyals
2023-11-07 19:27:00,"KentGrove убил naveel (Ruger 10/22, 21.85m)",Ruger 10/22,21.85,KentGrove,naveel
2023-11-07 19:28:00,"Trospe убил ZOMbIe97 (ИЖ-43, 8.68m)",ИЖ-43,8.68,Trospe,ZOMbIe97
2023-11-07 19:32:00,"BRAVO убил SEREGA (АКС-74У, 3.64m)",АКС-74У,3.64,BRAVO,SEREGA
2023-11-07 19:34:00,"Varyag убил Xanax (MP-443 «Грач», 1.98m)",MP-443 «Грач»,1.98,Varyag,Xanax
2023-11-07 19:35:00,"Vladislove2033  убил ****** ******* (ИЖ70-17A, 2.53m)",ИЖ70-17A,2.53,Vladislove2033 ,****** *******
2023-11-07 19:36:00,"Cr1stal убил Jhon Locke (АКС-74У, 16.53m)",АКС-74У,16.53,Cr1stal,Jhon Locke
2023-11-07 19:38:00,"Yapon4ik убил Vladislove2033  (MP5K, 6.09m)",MP5K,6.09,Yapon4ik,Vladislove2033 
